samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
CPC98	not applicable	not applicable	SAMN04028906	missing	male	https://doi.org/10.1186/s13059-015-0790-2	Aurochs	9909	Bos primigenius	53.07	-1.66	United Kingdom	Carsington Pasture Cave, Derbyshire	6738	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Mesolithic	ILLUMINA	WGS	3.77	none	single	https://doi.org/10.1186/s13059-015-0790-2	not applicable	not applicable	not applicable	33.73	none	single	not applicable	https://doi.org/10.1186/s13059-015-0790-2		Jolijn Erven	yes
Kaz1	not applicable	not applicable	SAMEA5577367	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	42.66	44.65	Georgia	Dariali Tamara Fort	1000	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Medieval	ILLUMINA	WGS	3.07	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	165.76	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Men1	not applicable	MV013	SAMEA5577376	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	40.29	29.53	Turkey	Menteşe	8050	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Neolithic	ILLUMINA	WGS	2.92	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	356.64	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Plo4	not applicable	not applicable	SAMEA5577383	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	7000	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Late Neolithic	ILLUMINA	WGS	2.86	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	183.64	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Shimao05	not applicable	not applicable	SAMN08866422	missing	female	https://doi.org/10.1038/s41467-018-04737-0	Eurasian cattle	9913	Bos taurus	38.33	109.83	China	Shimao	3879	not applicable	not applicable	radiocarbon dating	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-018-04737-0	Neolithic	ILLUMINA	WGS	2.64	none	double	https://doi.org/10.1038/s41467-018-04737-0	not applicable	not applicable	not applicable	139.61	none	double	not applicable	https://doi.org/10.1038/s41467-018-04737-0		Jolijn Erven	yes
Plo3	not applicable	not applicable	SAMEA5577382	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	7025	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Middle Neolithic	ILLUMINA	WGS	2.63	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	164.19	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Bes1	not applicable	not applicable	SAMEA5577351	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	35.38	45.65	Iraq	Bestansur	2800	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Iron age	ILLUMINA	WGS	2.08	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	144.17	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Men2	not applicable	not applicable	SAMEA5577377	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	40.29	29.53	Turkey	Menteşe	7924	not applicable	not applicable	radiocarbon dating	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.aav1002	Neolithic	ILLUMINA	WGS	1.85	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	443.6	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Gyu2	not applicable	not applicable	SAMEA5577362	missing	male	https://doi.org/10.1126/science.aav1002	Aurochs	9909	Bos primigenius	40.79	43.85	Armenia	Gyumri	7136	not applicable	not applicable	radiocarbon dating	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.aav1002		ILLUMINA	WGS	1.7	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	480.64	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Yer1	not applicable	not applicable	SAMEA5577405	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	41.27	69.22	Uzbekistan	Yerqorqan	2050	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Achaemenid/Sasanid	ILLUMINA	WGS	1.68	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	181.98	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Has4	not applicable	not applicable	SAMEA5577365	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	37.00	45.46	Iran	Hasanlu, Azerbaijan	2900	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Iron II	ILLUMINA	WGS	1.67	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	204.24	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Qaz1	not applicable	not applicable	SAMEA5577389	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	36.30	49.98	Iran	Qazvin	4707	not applicable	not applicable	radiocarbon dating	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.aav1002	Bronze Age	ILLUMINA	WGS	1.65	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	207.53	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Has3	not applicable	not applicable	SAMEA5577364	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	37.00	45.46	Iran	Hasanlu, Azerbaijan	4470	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Early Bronze II	ILLUMINA	WGS	1.5	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	231.78	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Tsa1	not applicable	not applicable	SAMEA5577407	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	31.70	34.85	Israel	Tel es-Safi	2820	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Iron Age II-9th century	ILLUMINA	WGS	0.96	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	169.99	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Kok1	not applicable	not applicable	SAMEA5577373	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	39.89	66.95	Uzbekistan	Kok Tepe	3500	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Iron Age	ILLUMINA	WGS	0.48	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	94.91	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Plo2	not applicable	not applicable	SAMEA5577381	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	6950	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Late Neolithic	ILLUMINA	WGS	0.48	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	40.73	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Kaz4	not applicable	not applicable	SAMEA5577370	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	42.66	44.65	Georgia	Dariali Tamara Fort	1200	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Medieval	ILLUMINA	WGS	0.46	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	30.33	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Kaz3	not applicable	not applicable	SAMEA5577369	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	42.66	44.65	Georgia	Dariali Tamara Fort	1350	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Medieval	ILLUMINA	WGS	0.45	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	39.57	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Bub1	not applicable	not applicable	SAMEA5577355	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.31	21.87	Serbia	Bubanj	7600	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Chalcolithic	ILLUMINA	WGS	0.45	none	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	58.98	none	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Plo6	not applicable	not applicable	SAMEA5577385	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	7126	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Middle Neolithic	ILLUMINA	WGS	0.38	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	9.01	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Ch22	not applicable	not applicable	SAMEA5577358	missing	male	https://doi.org/10.1126/science.aav1002	Aurochs	9909	Bos primigenius	37.67	32.83	Turkey	Çatalhöyük	7600	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Neolithic	ILLUMINA	WGS	0.31	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	52.72	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Kaz2	not applicable	not applicable	SAMEA5577368	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	42.66	44.65	Georgia	Dariali Tamara Fort	1050	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Medieval	ILLUMINA	WGS	0.28	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	30.14	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Kho1	not applicable	not applicable	SAMEA5577372	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	36.21	58.80	Iran	Nishapur Qohandez	1400	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Parthes- Islamic	ILLUMINA	WGS	0.2	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	23.72	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Plo8	not applicable	not applicable	SAMEA5577387	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	7001	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Late Neolithic	ILLUMINA	WGS	0.2	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	26.49	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Sac3	not applicable	not applicable	SAMEA5577390	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	36.50	55.00	Iran	Tapeh-Sang-e-Caxmaq	7373	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Late Neolithic	ILLUMINA	WGS	0.19	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	6.5	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Stu1	not applicable	not applicable	SAMEA5577392	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	44.57	20.14	Serbia	Stubline	6660	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Neolithic	ILLUMINA	WGS	0.15	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	22.2	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Shimao04	not applicable	not applicable	SAMN08866421	missing	female	https://doi.org/10.1038/s41467-018-04737-0	Eurasian cattle	9913	Bos taurus	38.33	109.83	China	Shimao	3879	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Neolithic	ILLUMINA	WGS	0.25	none	double	https://doi.org/10.1038/s41467-018-04737-0	not applicable	not applicable	not applicable	89.18	none	double	not applicable	https://doi.org/10.1038/s41467-018-04737-0		Jolijn Erven	yes
Bel2	not applicable	not applicable	SAMEA5577350	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	44.38	21.42	Serbia	Belovode-Veliko	6900	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Late Neolithic	ILLUMINA	WGS	0.13	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	28.84	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Plo1	not applicable	not applicable	SAMEA5577380	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	7125	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Middle Neolithic	ILLUMINA	WGS	0.13	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	11.55	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Ace1	not applicable	not applicable	SAMEA5577346	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	38.41	33.84	Turkey	Acemhöyük	4200	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Early Bronze Age	ILLUMINA	WGS	0.11	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	22.46	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Plo7	not applicable	not applicable	SAMEA5577386	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	7000	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Late Neolithic	ILLUMINA	WGS	0.11	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	21.01	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
STK239	not applicable	not applicable	SAMN25653744	missing	male	https://doi.org/10.1016/j.isci.2023.107196	Eurasian cattle	9913	Bos taurus	35.87	8.79	Tunisia	Althiburos	2818	not applicable	not applicable	radiocarbon dating	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.isci.2023.107196	Iron Age	ILLUMINA	WGS	0.1	none	double	https://doi.org/10.1016/j.isci.2023.107196	not applicable	not applicable	not applicable	32.06	none	double	not applicable	https://doi.org/10.1016/j.isci.2023.107196		Jolijn Erven	yes
Bel1	not applicable	not applicable	SAMEA5577349	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	44.38	21.42	Serbia	Belovode-Veliko	6900	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Late Neolithic	ILLUMINA	WGS	0.09	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	14.03	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
STK234	not applicable	not applicable	SAMN25653742	missing	female	https://doi.org/10.1016/j.isci.2023.107196	Eurasian cattle	9913	Bos taurus	35.87	8.79	Tunisia	Althiburos	2553	not applicable	not applicable	radiocarbon dating	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.isci.2023.107196	Iron Age	ILLUMINA	WGS	0.09	none	double	https://doi.org/10.1016/j.isci.2023.107196	not applicable	not applicable	not applicable	7.81	none	double	not applicable	https://doi.org/10.1016/j.isci.2023.107196		Jolijn Erven	yes
Th7	not applicable	not applicable	SAMEA5577395	missing	female	https://doi.org/10.1126/science.aav1002	Aurochs	9909	Bos primigenius	34.78	-3.33	Morocco	Taghit Haddouch	8828	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.aav1002	Epipalaeolithic	ILLUMINA	WGS	0.08	partial-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	21.26	partial-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Plo5	not applicable	not applicable	SAMEA5577384	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	6650	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Late Neolithic	ILLUMINA	WGS	0.08	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	14.8	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
